ID,Mood,Quote
,Happy,Happiness is not something ready made. It comes from your own actions. — Dalai Lama
2,Happy,The purpose of our lives is to be happy. — Dalai Lama
3,Happy,Happiness is the best makeup. — Drew Barrymore
4,Happy,Happiness depends upon ourselves. — Aristotle
5,Happy,For every minute you are angry you lose sixty seconds of happiness. — Ralph Waldo Emerson
6,Happy,The only joy in the world is to begin. — Cesare Pavese
7,Happy,Happiness is the secret to all beauty. There is no beauty without happiness. — Christian Dior
8,Happy,The more you praise and celebrate your life. the more there is in life to celebrate. — Oprah Winfrey
9,Happy,Count your age by friends. not years. Count your life by smiles. not tears. — John Lennon
10,Happy,Happiness often sneaks in through a door you didn't know you left open. — John Barrymore
11,Happy,Smile more. Worry less.
12,Happy,Happiness is a direction. not a place. — Sydney J. Harris
13,Happy,Be happy with what you have. Be excited about what you want. — Alan Cohen
14,Happy,Stay close to people who feel like sunshine.
15,Happy,Happiness is not by chance. but by choice. — Jim Rohn
16,Happy,If you want to be happy. be. — Leo Tolstoy
17,Happy,Happiness is when what you think. what you say. and what you do are in harmony. — Mahatma Gandhi
18,Happy,A happy soul is the best shield for a cruel world. — Atticus
19,Happy,Take time to make your soul happy.
20,Happy,Let us be grateful to the people who make us happy; they are the charming gardeners who make our souls blossom. — Marcel Proust
21,Happy,Happiness radiates like the fragrance from a flower and draws all good things toward you. — Maharishi Mahesh Yogi
22,Happy,There is only one happiness in this life. to love and be loved. — George Sand
23,Happy,The happiest people don't have the best of everything; they make the best of everything. — Unknown
24,Happy,Happiness is not out there. it's in you.
25,Happy,To be happy is to grow. to change. and to find purpose in every small thing. — Unknown
26,Happy,Happiness grows at our own firesides. and is not to be picked in strangers' gardens. — Douglas Jerrold
27,Happy,True happiness consists not in the multitude of friends. but in their worth and choice. — Samuel Johnston
28,Happy,Be happy for this moment. This moment is your life. — Omar Khayyam
29,Happy,Find joy in the journey.
30,Happy,The secret of happiness is not in doing what one likes. but in liking what one does. — James M. Barrie
31,Happy,Happiness comes in waves. It'll find you again.
32,Happy,Find happiness in the ordinary.
33,Happy,The happier you are. the more beautiful you become. — Anonymous
34,Happy,Happiness is a warm puppy. — Charles M. Schulz
35,Happy,Choose to be happy every day. no matter what.
36,Happy,Every moment is a fresh beginning. — T.S. Eliot
37,Happy,Happiness is contagious. Spread it.
38,Happy,Think happy. be happy.
39,Happy,Happiness is not a goal; it is a by-product. — Eleanor Roosevelt
40,Happy,The most wasted of all days is one without laughter. — E.E. Cummings
41,Happy,Happiness is not about getting all you want; it's about enjoying all you have.
42,Happy,You deserve to be happy. It's not selfish. it's a necessity.
43,Happy,Happiness comes when we stop complaining about the troubles we have and offer thanks for all the troubles we don't have.
44,Happy,Being happy never goes out of style. — Lilly Pulitzer
45,Happy,Do more of what makes you happy.
46,Happy,Happiness is not something you postpone for the future; it is something you design for the present. — Jim Rohn
47,Happy,When you love what you have. you have everything you need.
48,Happy,Be happy not because everything is good. but because you can see the good in everything.
49,Happy,Let your smile change the world. but don't let the world change your smile.
50,Happy,Happiness blooms from within.
51,Sad,Tears are words that need to be written. — Paulo Coelho
52,Sad,Sometimes. you have to know when to stop hoping. — Karen Salmansohn
53,Sad,Crying is how your heart speaks when your lips can't explain the pain.
54,Sad,It's okay to cry when there's too much on your mind. The clouds rain too when things get heavy.
55,Sad,Don't cry because it's over. smile because it happened. — Dr. Seuss
56,Sad,The pain never really goes away; you just elevate and get used to it by growing stronger.
57,Sad,The emotion that can break your heart is sometimes the very one that heals it. — Nicholas Sparks
58,Sad,It's hard to forget someone who gave you so much to remember.
59,Sad,Sadness flies away on the wings of time. — Jean de La Fontaine
60,Sad,What brings us to tears. will lead us to grace. Our pain is never wasted. — Bob Goff
61,Sad,Sadness is but a wall between two gardens. — Khalil Gibran
62,Sad,Every human walks around with a certain kind of sadness. They may not wear it on their sleeves. but it's there if you look deep. — Taraji P. Henson
63,Sad,Grief is not as heavy as guilt. but it takes more away from you. — Veronica Roth
64,Sad,Sorrow is one of the vibrations that prove the fact of living. — Antoine de Saint-Exupéry
65,Sad,Sometimes we create our own heartbreaks through expectation.
66,Sad,Behind every sweet smile. there is a bitter sadness that no one can ever see and feel. — Tupac Shakur
67,Sad,You cannot protect yourself from sadness without protecting yourself from happiness. — Jonathan Safran Foer
68,Sad,It's sad when someone you know becomes someone you knew. — Henry Rollins
69,Sad,You can't prevent things from happening. That's part of life. But you can take control of how you respond to it. — Unknown
70,Sad,Sad things happen. They do. But we don't need to live sad forever. — Mattie Stepanek
71,Sad,Although the world is full of suffering. it is full also of the overcoming of it. — Helen Keller
